INSTRUMENT,REF_THEO,REF_UNDERLYING_PRICE,DELTA,GAMMA
E1AK2 C4810,0.0573978,4422.75,0.0004267,0.0000029
E1AK2 C4820,0.0414699,4395.75,0.0003051,0.0000015
E1AK2 P2400,0.0248258,4394.25,-0.0002026,0.0000002
E1AK2 P2500,0.0357482,4394.25,-0.0002953,0.0000004
E1AK2 P2600,0.0372497,4399,-0.0002792,0
E1AK2 P2650,0.044879,4399,-0.0003175,0
E1AK2 P2700,0.0532276,4399,-0.0003253,0
E1AK2 P2750,0.0311575,4421.75,-0.0003328,0.0000019
E1AK2 P2800,0.0385506,4421.75,-0.000413,0.0000023
E1AK2 P2850,0.0478956,4421.75,-0.0005087,0.000002
E1AK2 P2900,0.0589483,4421.75,-0.0006034,0.0000014
E1AK2 P2950,0.0718291,4421.75,-0.0007035,0.0000015
E1AK2 P3000,0.087135,4421.75,-0.0008271,0.0000026
E1AK2 P3050,0.1048823,4421.75,-0.0009948,0.0000046
E1AK2 P3100,0.1258691,4421.75,-0.0012049,0.0000056
E1AK2 P3150,0.1505502,4422.75,-0.0014147,0
E1AK2 P3200,0.1847004,4422.75,-0.001489,0
E1AK2 P3250,0.2178956,4422.75,-0.0013842,0
E1AK2 P3300,0.2383732,4422.75,-0.0011886,0
E1AK2 P3310,0.2414033,4422.75,-0.0011595,0
E1AK2 P3320,0.2444495,4422.75,-0.0011392,0
E1AK2 P3330,0.2478142,4422.75,-0.0011306,0
E1AK2 P3340,0.2518215,4422.75,-0.0011364,0
E1AK2 P3350,0.2565563,4422.75,-0.0011579,0
E1AK2 P3360,0.26221,4422.75,-0.0011863,0
E1AK2 P3370,0.2691403,4422.75,-0.0012194,0
E1AK2 P3380,0.2773299,4422.75,-0.0012573,0
E1AK2 P3390,0.2876637,4422.75,-0.0013034,0
E1AK2 P3400,0.2994603,4422.75,-0.0013551,0
E1AK2 P3410,0.3122142,4422.75,-0.0014101,0
E1AK2 P3420,0.3255642,4422.75,-0.0014672,0
E1AK2 P3430,0.3432118,4422.75,-0.0015409,0
