instrument,average_theo
E1CK2 C4550,17.4607
E1CK2 C4555,16.1979
E1CK2 C4560,14.9970
E1CK2 C4565,13.8632
E1CK2 C4570,12.7955
E1CK2 C4575,11.7919
E1CK2 C4580,10.8493
E1CK2 C4585,9.9667
E1CK2 C4590,9.1419
E1CK2 C4595,8.3734
E1CK2 C4600,7.6591
E1CK2 C4605,6.9956
E1CK2 C4610,6.3821
E1CK2 C4615,5.8160
E1CK2 C4620,5.2922
E1CK2 C4625,4.8107
E1CK2 C4630,4.3710
E1CK2 C4635,3.9678
E1CK2 C4640,3.5988
E1CK2 C4645,3.2622
E1CK2 C4650,2.9569
E1CK2 C4655,2.6794
E1CK2 C4660,2.4278
E1CK2 C4665,2.1984
E1CK2 C4670,1.9910
E1CK2 C4675,1.8027
E1CK2 C4680,1.6337
E1CK2 C4685,1.4832
E1CK2 C4690,1.3427
E1CK2 C4695,1.2124
E1CK2 C4700,1.0990
E1CK2 C4705,0.9960
E1CK2 C4710,0.9022
E1CK2 C4715,0.8180
E1CK2 C4720,0.7412
E1CK2 C4730,0.6101
E1CK2 C4740,0.5006
E1CK2 C4750,0.4102
E1CK2 C4760,0.3352
E1CK2 C4770,0.2759
E1CK2 C4780,0.2240
E1CK2 C4790,0.1810
E1CK2 C4800,0.1505
E1CK2 C4810,0.1265
E1CK2 C4820,0.1093
E1CK2 C4830,0.0949
E1CK2 C4840,0.0843
E1CK2 C4850,0.0750
E1CK2 C4860,0.0683
E1CK2 C4870,0.0627
E1CK2 C4880,0.0580
E1CK2 P2300,0.0340
E1CK2 P2400,0.0356
E1CK2 P2500,0.0512
E1CK2 P2600,0.0551
E1CK2 P2650,0.0647
E1CK2 P2700,0.0754
E1CK2 P2750,0.0877
E1CK2 P2800,0.1013
E1CK2 P2850,0.1158
E1CK2 P2900,0.1320
E1CK2 P2950,0.1500
E1CK2 P3000,0.1719
E1CK2 P3050,0.2009
E1CK2 P3100,0.2286
E1CK2 P3150,0.2516
E1CK2 P3200,0.2811
E1CK2 P3250,0.3300
E1CK2 P3300,0.3989
E1CK2 P3310,0.4135
E1CK2 P3320,0.4284
E1CK2 P3330,0.4434
E1CK2 P3340,0.4586
E1CK2 P3350,0.4739
E1CK2 P3360,0.4895
E1CK2 P3370,0.5053
E1CK2 P3380,0.5215
E1CK2 P3390,0.5380
E1CK2 P3400,0.5549
E1CK2 P3410,0.5722
E1CK2 P3420,0.5898
E1CK2 P3430,0.6080
E1CK2 P3440,0.6266
E1CK2 P3450,0.6458
E1CK2 P3460,0.6655
E1CK2 P3470,0.6854
E1CK2 P3480,0.7059
E1CK2 P3490,0.7276
E1CK2 P3500,0.7500
E1CK2 P3510,0.7733
E1CK2 P3520,0.7978
E1CK2 P3530,0.8232
E1CK2 P3540,0.8500
E1CK2 P3550,0.8779
E1CK2 P3560,0.9071
E1CK2 P3570,0.9373
E1CK2 P3580,0.9684
E1CK2 P3590,1.0003
E1CK2 P3600,1.0328
E1CK2 P3610,1.0659
E1CK2 P3620,1.0997
E1CK2 P3630,1.1340
E1CK2 P3640,1.1688
E1CK2 P3650,1.2046
E1CK2 P3660,1.2418
E1CK2 P3670,1.2820
E1CK2 P3680,1.3238
E1CK2 P3690,1.3673
E1CK2 P3700,1.4125
E1CK2 P3710,1.4593
E1CK2 P3720,1.5078
E1CK2 P3730,1.5580
E1CK2 P3735,1.5838
E1CK2 P3740,1.6101
E1CK2 P3745,1.6369
E1CK2 P3750,1.6646
E1CK2 P3755,1.6929
E1CK2 P3760,1.7217
E1CK2 P3765,1.7512
E1CK2 P3770,1.7815
E1CK2 P3775,1.8124
E1CK2 P3780,1.8443
E1CK2 P3785,1.8771
E1CK2 P3790,1.9107
E1CK2 P3795,1.9453
E1CK2 P3800,1.9806
E1CK2 P3805,2.0172
E1CK2 P3810,2.0550
E1CK2 P3815,2.0935
E1CK2 P3820,2.1334
E1CK2 P3825,2.1748
E1CK2 P3830,2.2168
E1CK2 P3835,2.2604
E1CK2 P3840,2.3056
E1CK2 P3845,2.3519
E1CK2 P3850,2.3997
E1CK2 P3855,2.4490
E1CK2 P3860,2.5000
E1CK2 P3865,2.5527
E1CK2 P3870,2.6070
E1CK2 P3875,2.6630
E1CK2 P3880,2.7208
E1CK2 P3885,2.7809
E1CK2 P3890,2.8429
E1CK2 P3895,2.9070
E1CK2 P3900,2.9733
E1CK2 P3905,3.0417
E1CK2 P3910,3.1126
E1CK2 P3915,3.1859
E1CK2 P3920,3.2625
E1CK2 P3925,3.3417
E1CK2 P3930,3.4247
E1CK2 P3935,3.5104
E1CK2 P3940,3.5992
E1CK2 P3945,3.6915
E1CK2 P3950,3.7869
E1CK2 P3955,3.8860
E1CK2 P3960,3.9886
E1CK2 P3965,4.0953
E1CK2 P3970,4.2055
E1CK2 P3975,4.3205
E1CK2 P3980,4.4396
E1CK2 P3985,4.5634
E1CK2 P3990,4.6920
E1CK2 P3995,4.8256
E1CK2 P4000,4.9645
E1CK2 P4005,5.1089
E1CK2 P4010,5.2591
E1CK2 P4015,5.4151
E1CK2 P4020,5.5776
E1CK2 P4025,5.7468
E1CK2 P4030,5.9229
E1CK2 P4035,6.1062
E1CK2 P4040,6.2972
E1CK2 P4045,6.4962
E1CK2 P4050,6.7032
E1CK2 P4055,6.9188
E1CK2 P4060,7.1432
E1CK2 P4065,7.3771
E1CK2 P4070,7.6131
E1CK2 P4075,7.8566
E1CK2 P4080,8.1114
E1CK2 P4085,8.3756
E1CK2 P4090,8.6505
E1CK2 P4095,8.9358
E1CK2 P4100,9.2323
E1CK2 P4105,9.5399
E1CK2 P4110,9.8587
E1CK2 P4115,10.1895
E1CK2 P4120,10.5321
E1CK2 P4125,10.8869
E1CK2 P4130,11.2545
E1CK2 P4135,11.6355
E1CK2 P4140,12.0296
E1CK2 P4145,12.4371
E1CK2 P4150,12.8580
E1CK2 P4155,13.2940
E1CK2 P4160,13.7443
E1CK2 P4165,14.2094
E1CK2 P4170,14.6905
E1CK2 P4175,15.1874
E1CK2 P4180,15.7005
E1CK2 P4185,16.2309
E1CK2 P4190,16.7757
E1CK2 P4195,17.3403
E1CK2 P4200,17.9227
E1CK2 P4205,18.5237
E1CK2 P4210,19.1427
E1CK2 P4215,19.7810
E1CK2 P4220,20.4399
E1CK2 P4225,21.1181
E1CK2 P4230,21.8167
E1CK2 P4235,22.5364
E1CK2 P4240,23.2784
E1CK2 P4245,24.0426
E1CK2 P4250,24.8274
E1CK2 P4255,25.6353
E1CK2 P4260,26.4694
E1CK2 P4265,27.3290
E1CK2 P4270,28.2130
E1CK2 P4275,29.1221
E1CK2 P4280,30.0582
E1CK2 P4285,31.0228
E1CK2 P4290,32.0148
E1CK2 P4295,33.0360
E1CK2 P4300,34.0893
E1CK2 P4305,35.1700
E1CK2 P4310,36.2818
E1CK2 P4315,37.4245
E1CK2 P4320,38.5994
